"CVE","Vendor","Product","Type","Description","Date Discovered","Date Patched","Advisory"
"CVE-2023-21674","Microsoft","Windows","Memory Corruption","ALPC elevation of privilege","???","2023-01-10","https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2023-21674"
"CVE-2023-23529","Apple","WebKit","Memory Corruption","Type confusion","???","2023-02-13","https://support.apple.com/en-us/HT213638"
"CVE-2023-21823","Microsoft","Windows","Memory Corruption","Windows Graphics Component RCE","???","2023-02-14","https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2023-21823"
"CVE-2023-23376","Microsoft","Windows","Memory Corruption","Common Log File System Driver EoP","???","2023-02-14","https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2023-23376"
"CVE-2023-20963","Google","Android","Logic/Design Flaw","Framework vulnerability in Parcels","???","2023-03-06","https://source.android.com/docs/security/bulletin/2023-03-01"
"CVE-2023-23397","Microsoft","Outlook","Logic/Design Flaw","Outlook Elevation of Privilege","???","2023-03-14","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-23397"
"CVE-2023-21768","Microsoft","Windows","Memory Corruption","AFD for WinSock Elevation of Privilege","???","2023-03-14","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-21768"
"CVE-2023-0266","Google","Android","Memory Corruption","Race condition in the Linux kernel sound subsystem","2023-01-12","2023-05-01","https://source.android.com/docs/security/bulletin/2023-05-01#2023-05-05-security-patch-level-vulnerability-details"
"CVE-2023-26083","ARM","Android","Memory Corruption","Information leak in Mali GPU","2023-01-12","2023-03-31","https://developer.arm.com/Arm%20Security%20Center/Mali%20GPU%20Driver%20Vulnerabilities"
"CVE-2023-28206","Apple ","iOS","Memory Corruption","Out-of-bounds write in IOSurfaceAccelerator","???","2023-04-07","https://support.apple.com/en-us/102795"
"CVE-2023-28205","Apple","WebKit","Memory Corruption","Use-after-free in WebKit","???","2023-04-07","https://support.apple.com/en-us/102795"
"CVE-2023-28252","Microsoft","Windows","Memory Corruption","Common Log File System Driver Elevation of Privilege","???","2023-04-11","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-28252"
"CVE-2023-2033","Google","Chrome","Memory Corruption","Type confusion in V8","2023-04-11","2023-04-14","https://chromereleases.googleblog.com/2023/04/stable-channel-update-for-desktop_14.html"
"CVE-2023-2136","Google","Chrome","Memory Corruption","Integer overflow in Skia","2023-04-12","2023-04-18","https://chromereleases.googleblog.com/2023/04/stable-channel-update-for-desktop_18.html"
"CVE-2023-21492","Samsung","Android","Logic/Design Flaw","Kernel pointers exposure in log file","2021-01-17","2023-05-01","https://security.samsungmobile.com/securityUpdate.smsb"
"CVE-2023-28204","Apple","WebKit","Memory Corruption","Out-of-bounds read","???","2023-05-01","https://support.apple.com/en-us/HT213757"
"CVE-2023-32373","Apple","WebKit","Memory Corruption","Use-after-free in WebKit","???","2023-05-01","https://support.apple.com/en-us/HT213757"
"CVE-2023-29336","Microsoft","Windows","Memory Corruption","Win32k Elevation of Privilege","???","2023-05-09","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29336"
"CVE-2023-32409","Apple","WebKit","Memory Corruption","WebContext sandbox escape","???","2023-05-18","https://support.apple.com/en-us/HT213757"
"CVE-2023-2868","Barracuda","Email Security Gateway","Logic/Design Flaw","Remote command injection due to incomplete input validation","2023-05-18","2023-05-30","https://www.barracuda.com/company/legal/esg-vulnerability"
"CVE-2023-3079","Google","Chrome","Memory Corruption","Type confusion in V8","2023-06-01","2023-06-05","https://chromereleases.googleblog.com/2023/06/stable-channel-update-for-desktop.html"
"CVE-2023-32434","Apple","iOS","Memory Corruption","Integer overflow in the XNU kernel","???","2023-06-21","https://support.apple.com/en-us/HT213814"
"CVE-2023-32435","Apple","WebKit","Memory Corruption","Unspecified memory corruption affecting iOS 15.7.6","???","2023-06-21","https://support.apple.com/en-us/HT213811"
"CVE-2023-32439","Apple","WebKit","Memory Corruption","Type confusion ","???","2023-06-21","https://support.apple.com/en-us/HT213814"
"CVE-2023-37450","Apple","WebKit","Memory Corruption","Unspecified memory corruption ","???","2023-07-10","https://support.apple.com/en-us/HT213823"
"CVE-2023-32046","Microsoft","Windows","Memory Corruption","MSHTML Platform Elevation of Privilege","???","2023-07-11","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-32046"
"CVE-2023-36874","Microsoft","Windows","Logic/Design Flaw","Windows Error Reporting Service Elevation of Privilege","2023-06-30","2023-07-11","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36874"
"CVE-2023-36884","Microsoft","Windows","Logic/Design Flaw","Office and Windows HTML Remote Code Execution","2023-07-05","2023-08-08","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36884"
"CVE-2023-37580","Synacor","Zimbra","XSS","Reflected XSS in /m/moveto","2023-06-29","2023-07-26","https://wiki.zimbra.com/wiki/Zimbra_Releases/8.8.15/P41"
"CVE-2023-38606","Apple","iOS","Memory Corruption","Unspecified kernel vulnerability against pre-iOS 15.7.1","???","2023-07-24","https://support.apple.com/en-us/HT213841"
"CVE-2023-41990","Apple","iOS","Memory Corruption","TrueType font remote code execution in iOS 15.7","???","2023-07-24","https://support.apple.com/en-us/HT213842"
"CVE-2023-38831","WinRAR","WinRAR","Logic/Design Flaw","Issue in the processing of the ZIP format","2023-07-10","2023-08-02","https://www.win-rar.com/singlenewsview.html?&L=0&tx_ttnews%5Btt_news%5D=232&cHash=c5bf79590657e32554c6683296a8e8aa"
"CVE-2023-35674","Google","Android","Logic/Design Flaw","Ability to launch background activities due to logic error","???","2023-09-05","https://source.android.com/docs/security/bulletin/2023-09-01"
"CVE-2023-4762","Google","Chrome","Memory Corruption","Type confusion in V8","2023-08-16","2023-09-05","https://chromereleases.googleblog.com/2023/09/stable-channel-update-for-desktop.html"
"CVE-2023-41064","Apple","iOS","Memory Corruption","Buffer overflow in ImageIO","???","2023-09-07","https://support.apple.com/en-us/HT213905"
"CVE-2023-41061","Apple","iOS","Memory Corruption","A validation issue in Wallet","???","2023-09-07","https://support.apple.com/en-us/HT213905"
"CVE-2023-4863","Google","Chrome","Memory Corruption","Heap buffer overflow in WebP","2023-09-06","2023-09-12","https://chromereleases.googleblog.com/2023/09/stable-channel-update-for-desktop_12.html"
"CVE-2023-26369","Adobe","Reader","Memory Corruption","Out-of-bounds write","???","2023-09-12","https://helpx.adobe.com/security/products/acrobat/apsb23-34.html"
"CVE-2023-36802","Microsoft","Windows","Logic/Design Flaw","Streaming service proxy elevation of privilege","???","2023-09-12","https://msrc.microsoft.com/update-guide/en-US/advisory/CVE-2023-36802"
"CVE-2023-36761","Microsoft","Word","???","Information disclosure vulnerability","???","2023-09-12","https://msrc.microsoft.com/update-guide/en-US/advisory/CVE-2023-36761"
"CVE-2023-41992","Apple","iOS","Memory Corruption","Vulnerability in the XNU Kernel","2023-09-12","2023-09-21","https://support.apple.com/en-us/HT213926"
"CVE-2023-41991","Apple","iOS","Logic/Design Flaw","Singature validation bypass","2023-09-12","2023-09-21","https://support.apple.com/en-us/HT213926"
"CVE-2023-41993","Apple","WebKit","Memory Corruption","Unspecified memory corruption","2023-09-12","2023-09-21","https://support.apple.com/en-us/HT213926"
